ID;Fonte;Icona;Anno;Stagione;Titolo;Sottotitolo;Lat;Lon;Testo
1;ISPRA;termorosso;2020;Inverno;Caldo anomalo;Febbraio;44.8250340226842;9.9426495878486;Il piu' caldo febbraio in Emilia Romagna dal 1961. A Bobbio, sull'Appennino piacentino, il termometro ha toccato la massima temperatura mai rilevata in questo mese, pari a 25.6°C. 
2;ISPRA;termorosso;2020;Inverno;Caldo anomalo;Febbraio;44.1438371503308;10.66769523295;Mese particolarmente caldo in Toscana, soprattutto in montagna. Il giorno 24 registrati 16.4°C nella stazione di Boscolungo (PT), la piu’ alta dall’inizio delle osservazioni per il mese di febbraio.
3;ISPRA;vento;2020;Inverno;Vento;3 - 5 febbraio;46.1601950309007;9.33054905260808;Ventilazione intensa sulla Lombardia anche a carattere favonico, con medie orarie fino a 100 km/h e raffiche fino a 144 km/h a Vercana (CO). Registrate temperature localmente anche al di sopra dei 20°C.
4;ISPRA;termorosso;2020;Inverno;Caldo anomalo;Inverno;44.867765847038044;8.02825305236405;In Piemonte l'inverno e’ stato il piu' caldo degli ultimi 63 anni, con un’anomalia termica media regionale rispetto al clima 1971-2000 intorno a +3°C. Il 3 febbraio 2020 e' risultato il giorno con la temperatura media regionale piu' elevata del mese di febbraio dal 1958 ad oggi. Record del numero di giorni con presenza di foehn (17) per il nuovo millennio.
5;ISPRA;termorosso;2020;Inverno;Caldo anomalo;23 - 24 febbraio;45.73947600040451;7.364658967168118;Intensi eventi di foehn in Valle d'Aosta. Ad Aosta Aeroporto le temperature massime hanno superato i 25°C, con una minima di 13°C durante la notte.
6;ISPRA;termorosso;2020;Inverno;Caldo anomalo;Febbraio;46.506293275955265;13.58582199392142;Febbraio molto caldo anche in Friuli Venezia Giulia, dove le anomalie termiche hanno raggiunto il valore massimo di +4°C a Tarvisio (UD).
7;ISPRA;secco;2020;Inverno;Siccita';1 gennaio - 29 febbraio;37.6058756257217;14.1781411545195;Prolungato periodo di siccita' in Sicilia. Il bimestre gennaio-febbraio, con soli 16 mm di precipitazione media regionale, e' risultato il piu’ asciutto dal 1921.
8;ISPRA;neve;2020;Primavera;Neve;5-6 marzo;45.80157779807697;7.058135104300737;Intensa nevicata nei settori occidentali della Valle d'Aosta, con accumulo di 50-70 cm nel fondovalle.
9;ISPRA;termoblu;2020;Primavera;Gelata;24 marzo - 4 aprile;44.8318118721877;11.5983262771305;Estesa e intensa gelata tardiva in Emilia Romagna. Registrate in pianura temperature minime anche inferiori a -5°C. Gravissimi danni alle colture frutticole.
10;ISPRA;pioggia;2020;Primavera;Pioggia e vento;24 - 26 marzo;38.68376962643865;16.415480558439814;Precipitazioni persistenti e venti freddi di burrasca, con massimi oltre 100 km/h in Calabria, in particolare sulle aree in quota dei versanti ionici centro-meridionali. Registrata la precipitazione totale massima di evento di 340.6 mm a Chiaravalle Centrale (CZ).
11;ISPRA;pioggia;2020;Primavera;Pioggia e vento;24 - 26 marzo;37.84261910547611;15.140734490310885;Precipitazioni intense, associate a forte vento, soprattutto nelle aree orientali della Sicilia e a sud di Palermo, con massimo di precipitazione pari a 345 mm in 48 ore registrato a Linguaglossa (CT). Allagamenti in aree urbane, sversamenti di detriti lungo la viabilita', fenomeni franosi, esondazioni del reticolo secondario, alberi caduti e ingressioni marine.
